"","region","country","indicator","input","date"
"1","Americas","Antigua and Barbuda","Ratification of the UN Convention against Torture","Yes",1993
"2","Americas","Argentina","Ratification of the UN Convention against Torture","Yes",1986
"3","Americas","Bahamas","Ratification of the UN Convention against Torture","Yes",2018
"4","Americas","Barbados","Ratification of the UN Convention against Torture","No",NA
"5","Americas","Belize","Ratification of the UN Convention against Torture","Yes",1986
"6","Americas","Bolivia","Ratification of the UN Convention against Torture","Yes",1999
"7","Americas","Brazil","Ratification of the UN Convention against Torture","Yes",1989
"8","Americas","Canada","Ratification of the UN Convention against Torture","Yes",1987
"9","Americas","Chile","Ratification of the UN Convention against Torture","Yes",1988
"10","Americas","Colombia","Ratification of the UN Convention against Torture","Yes",1987
"11","Americas","Costa Rica","Ratification of the UN Convention against Torture","Yes",1993
"12","Americas","Cuba","Ratification of the UN Convention against Torture","Yes",1995
"13","Americas","Dominica","Ratification of the UN Convention against Torture","Yes",2024
"14","Americas","Dominican Republic","Ratification of the UN Convention against Torture","Yes",2012
"15","Americas","Ecuador","Ratification of the UN Convention against Torture","Yes",1988
"16","Americas","El Salvador","Ratification of the UN Convention against Torture","Yes",1996
"17","Americas","Grenada","Ratification of the UN Convention against Torture","Yes",2019
"18","Americas","Guatemala","Ratification of the UN Convention against Torture","Yes",1990
"19","Americas","Guyana","Ratification of the UN Convention against Torture","Yes",1988
"20","Americas","Haiti","Ratification of the UN Convention against Torture","No",NA
"21","Americas","Honduras","Ratification of the UN Convention against Torture","Yes",1996
"22","Americas","Jamaica","Ratification of the UN Convention against Torture","No",NA
"23","Americas","Mexico","Ratification of the UN Convention against Torture","Yes",1986
"24","Americas","Nicaragua","Ratification of the UN Convention against Torture","Yes",2005
"25","Americas","Panama","Ratification of the UN Convention against Torture","Yes",1987
"26","Americas","Paraguay","Ratification of the UN Convention against Torture","Yes",1990
"27","Americas","Peru","Ratification of the UN Convention against Torture","Yes",1988
"28","Americas","Saint Kitts and Nevis","Ratification of the UN Convention against Torture","Yes",2020
"29","Americas","Saint Lucia","Ratification of the UN Convention against Torture","No",NA
"30","Americas","Saint Vincent and the Grenadines","Ratification of the UN Convention against Torture","Yes",2001
"31","Americas","Suriname","Ratification of the UN Convention against Torture","Yes",2021
"32","Americas","Trinidad and Tobago","Ratification of the UN Convention against Torture","No",NA
"33","Americas","United States","Ratification of the UN Convention against Torture","Yes",1994
"34","Americas","Uruguay","Ratification of the UN Convention against Torture","Yes",1986
"35","Americas","Venezuela","Ratification of the UN Convention against Torture","Yes",1991
"36","Africa","Algeria","Ratification of the UN Convention against Torture","Yes",1989
"37","Africa","Angola","Ratification of the UN Convention against Torture","Yes",2019
"38","Africa","Benin","Ratification of the UN Convention against Torture","Yes",1992
"39","Africa","Botswana","Ratification of the UN Convention against Torture","Yes",2000
"40","Africa","Burkina Faso","Ratification of the UN Convention against Torture","Yes",1999
"41","Africa","Burundi","Ratification of the UN Convention against Torture","Yes",1993
"42","Africa","Cabo Verde","Ratification of the UN Convention against Torture","Yes",1992
"43","Africa","Cameroon","Ratification of the UN Convention against Torture","Yes",1986
"44","Africa","Central African Republic","Ratification of the UN Convention against Torture","Yes",2016
"45","Africa","Chad","Ratification of the UN Convention against Torture","Yes",1995
"46","Africa","Comoros","Ratification of the UN Convention against Torture","Yes",2017
"47","Africa","Congo","Ratification of the UN Convention against Torture","Yes",2003
"48","Africa","Cote d'Ivoire","Ratification of the UN Convention against Torture","Yes",1995
"49","Africa","Democratic Republic of the Congo","Ratification of the UN Convention against Torture","Yes",1996
"50","Africa","Djibouti","Ratification of the UN Convention against Torture","Yes",2002
"51","Africa","Equatorial Guinea","Ratification of the UN Convention against Torture","Yes",2002
"52","Africa","Eritrea","Ratification of the UN Convention against Torture","Yes",2014
"53","Africa","Ethiopia","Ratification of the UN Convention against Torture","Yes",1994
"54","Africa","Gabon","Ratification of the UN Convention against Torture","Yes",2000
"55","Africa","Gambia","Ratification of the UN Convention against Torture","Yes",2018
"56","Africa","Ghana","Ratification of the UN Convention against Torture","Yes",2000
"57","Africa","Guinea","Ratification of the UN Convention against Torture","Yes",1989
"58","Africa","Guinea-Bissau","Ratification of the UN Convention against Torture","Yes",2013
"59","Africa","Kenya","Ratification of the UN Convention against Torture","Yes",1997
"60","Africa","Lesotho","Ratification of the UN Convention against Torture","Yes",2001
"61","Africa","Liberia","Ratification of the UN Convention against Torture","Yes",2004
"62","Africa","Madagascar","Ratification of the UN Convention against Torture","Yes",2005
"63","Africa","Malawi","Ratification of the UN Convention against Torture","Yes",1996
"64","Africa","Mali","Ratification of the UN Convention against Torture","Yes",1999
"65","Africa","Mauritania","Ratification of the UN Convention against Torture","Yes",2004
"66","Africa","Mozambique","Ratification of the UN Convention against Torture","Yes",1999
"67","Africa","Namibia","Ratification of the UN Convention against Torture","Yes",1994
"68","Africa","Niger","Ratification of the UN Convention against Torture","Yes",1998
"69","Africa","Nigeria","Ratification of the UN Convention against Torture","Yes",2001
"70","Africa","Rwanda","Ratification of the UN Convention against Torture","Yes",2008
"71","Africa","Sao Tome and Principe","Ratification of the UN Convention against Torture","Yes",2017
