country,fre,spa,por
Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Antígua e Barbuda
Argentina,Argentine,Argentina,Argentina
Bahamas,Bahamas,Bahamas,Bahamas
Belize,Belize,Belice,Belize
Bolivia,Bolivie,Bolivia,Bolívia
Brazil,Brésil,Brasil,Brasil
Canada,Canada,Canadá,Canadá
Chile,Chili,Chile,Chile
Colombia,Colombie,Colombia,Colômbia
Costa Rica,Costa Rica,Costa Rica,Costa Rica
Cuba,Cuba,Cuba,Cuba
Dominica,Dominique,Dominica,Dominica
Dominican Republic,République dominicaine,República Dominicana,República Dominicana
Ecuador,Équateur,Ecuador,Equador
El Salvador,El Salvador,El Salvador,El Salvador
Grenada,Grenade,Granada,Granada
Guatemala,Guatemala,Guatemala,Guatemala
Guyana,Guyana,Guyana,Guiana
Honduras,Honduras,Honduras,Honduras
Mexico,Mexique,México,México
Nicaragua,Nicaragua,Nicaragua,Nicarágua
Panama,Panama,Panamá,Panamá
Paraguay,Paraguay,Paraguay,Paraguai
Peru,Pérou,Perú,Peru
Saint Kitts and Nevis,Saint-Kitts-et-Nevis,San Cristóbal y Nieves,São Cristóvão e Nevis
Saint Vicent and the Grenadines,Saint-Vincent-et-les-Grenadines,San Vicente y las Granadinas,São Vicente e Granadinas
Suriname,Suriname,Surinam,Suriname
United States,États-Unis,Estados Unidos,Estados Unidos
Uruguay,Uruguay,Uruguay,Uruguai
Venezuela,Venezuela,Venezuela,Venezuela
Algeria,Algérie,Argelia,Argélia
Angola,Angola,Angola,Angola
Benin,Bénin,Benín,Benim
Botswana,Botswana,Botsuana,Botsuana
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi,Burundi
Cabo Verde,Cap-Vert,Cabo Verde,Cabo Verde
Cameroon,Cameroun,Camerún,Camarões
Central African Republic,République centrafricaine,República Centroafricana,República Centro-Africana
Chad,Tchad,Chad,Chade
Comoros,Comores,Comoras,Comores
Congo,Congo,Congo,Congo
Cote d'Ivoire,Côte d'Ivoire,Costa de Marfil,Costa do Marfim
Maldives,Maldives,Maldivas,Maldivas
Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,República Democrática do Congo
Djibouti,Djibouti,Yibuti,Djibuti
Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial,Guiné Equatorial
Eritrea,Érythrée,Eritrea,Eritreia
Ethiopia,Éthiopie,Etiopía,Etiópia
Gabon,Gabon,Gabón,Gabão
Gambia,Gambie,Gambia,Gâmbia
Ghana,Ghana,Ghana,Gana
Guinea,Guinée,Guinea,Guiné
Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,Guiné-Bissau
Kenya,Kenya,Kenia,Quênia
Lesotho,Lesotho,Lesoto,Lesoto
Liberia,Libéria,Liberia,Libéria
Madagascar,Madagascar,Madagascar,Madagáscar
Malawi,Malawi,Malaui,Malawi
